REGI?O:;UF:;ESTAC?O:;CODIGO (WMO):;LATITUDE:;LONGITUDE:;ALTITUDE:;Arquivo
N;TO;DIANOPOLIS;A038;-11.594448;-46.847209;727.87;INMET_N_TO_A038_DIANOPOLIS_01-01-2019_A_31-12-2019.CSV
SE;MG;MOCAMBINHO;A539;-15.085958;-44.016036;454.0;INMET_SE_MG_A539_MOCAMBINHO_01-01-2019_A_31-12-2019.CSV
NE;PB;ITAPORANGA;A373;-7.318472;-38.140833;292.0;INMET_NE_PB_A373_ITAPORANGA_01-01-2019_A_31-12-2019.CSV
SE;MG;JOAO PINHEIRO;A553;-17.784477;-46.119394;877.05;INMET_SE_MG_A553_JOAO PINHEIRO_01-01-2019_A_31-12-2019.CSV
S;PR;PLANALTO;A855;-25.721863;-53.74792;399.1;INMET_S_PR_A855_PLANALTO_01-01-2019_A_31-12-2019.CSV
CO;MT;TANGARA DA SERRA;A902;-14.650117;-57.431556;440.01;INMET_CO_MT_A902_TANGARA DA SERRA_01-01-2019_A_31-12-2019.CSV
SE;ES;PRES. KENNEDY;A622;-21.100805;-41.039395;69.12;INMET_SE_ES_A622_PRES. KENNEDY_01-01-2019_A_31-12-2019.CSV
CO;MS;ITAQUIRAI;A752;-23.449501;-54.181858;337.82;INMET_CO_MS_A752_ITAQUIRAI_01-01-2019_A_31-12-2019.CSV
SE;MG;JUIZ DE FORA;A518;-21.769965;-43.364329;936.88;INMET_SE_MG_A518_JUIZ DE FORA_01-01-2019_A_31-12-2019.CSV
SE;MG;ITUIUTABA;A512;-18.952907;-49.525072;540.08;INMET_SE_MG_A512_ITUIUTABA_01-01-2019_A_31-12-2019.CSV
NE;BA;SALVADOR (RADIO FAROL);A456;-12.80833333;-38.49583333;31.0;INMET_NE_BA_A456_SALVADOR (RADIO FAROL)_01-01-2019_A_31-12-2019.CSV
N;RO;PORTO VELHO;A925;-8.793662;-63.845931;86.7;INMET_N_RO_A925_PORTO VELHO_01-01-2019_A_31-12-2019.CSV
CO;MS;SONORA;A761;-17.63527777;-54.76055555;495.25;INMET_CO_MS_A761_SONORA_01-01-2019_A_31-12-2019.CSV
SE;MG;DIAMANTINA;A537;-18.231052;-43.648269;1359.25;INMET_SE_MG_A537_DIAMANTINA_01-01-2019_A_31-12-2019.CSV
N;TO;FORMOSO DO ARAGUAIA;A039;-11.887377;-49.608215;215.2;INMET_N_TO_A039_FORMOSO DO ARAGUAIA_01-01-2019_A_31-12-2019.CSV
CO;MS;AMAMBAI;A750;-23.0025;-55.32944443;433.59;INMET_CO_MS_A750_AMAMBAI_01-01-2019_A_31-12-2019.CSV
CO;MS;ARAL MOREIRA;S702;-22.955028;-55.626;605.0;INMET_CO_MS_S702_ARAL MOREIRA_01-01-2019_A_31-12-2019.CSV
SE;MG;MURIAE;A517;-21.104867;-42.375904;282.79;INMET_SE_MG_A517_MURIAE_01-01-2019_A_31-12-2019.CSV
NE;BA;CONDE;A431;-12.035833;-37.683889;31.9;INMET_NE_BA_A431_CONDE_01-01-2019_A_31-12-2019.CSV
NE;PE;GARANHUNS;A322;-8.91095;-36.493381;827.78;INMET_NE_PE_A322_GARANHUNS_01-01-2019_A_31-12-2019.CSV
NE;PE;CARUARU;A341;-8.36527777;-36.02833332;852.0;INMET_NE_PE_A341_CARUARU_01-01-2019_A_31-12-2019.CSV
CO;GO;JATAI;A016;-17.923622;-51.717467;670.08;INMET_CO_GO_A016_JATAI_01-01-2019_A_31-12-2019.CSV
CO;MT;GAUCHA DO NORTE;A930;-13.184857;-53.257366;375.87;INMET_CO_MT_A930_GAUCHA DO NORTE_01-01-2019_A_31-12-2019.CSV
N;TO;PIUM;A051;-10.476944;-49.629475;161.0;INMET_N_TO_A051_PIUM_01-01-2019_A_31-12-2019.CSV
CO;MT;CAMPO VERDE;A912;-15.531431;-55.135649;748.27;INMET_CO_MT_A912_CAMPO VERDE_01-01-2019_A_31-12-2019.CSV
NE;SE;BREJO GRANDE;A421;-10.473959;-36.482051;6.11;INMET_NE_SE_A421_BREJO GRANDE_01-01-2019_A_31-12-2019.CSV
S;RS;LAGOA VERMELHA;A844;-28.222381;-51.512845;833.83;INMET_S_RS_A844_LAGOA VERMELHA_01-01-2019_A_31-12-2019.CSV
CO;GO;MORRINHOS;A003;-17.745066;-49.101698;751.09;INMET_CO_GO_A003_MORRINHOS_01-01-2019_A_31-12-2019.CSV
SE;MG;CURVELO;A538;-18.747711;-44.453785;669.48;INMET_SE_MG_A538_CURVELO_01-01-2019_A_31-12-2019.CSV
SE;ES;VILA VELHA;A634;-20.467069;-40.404051;25.0;INMET_SE_ES_A634_VILA VELHA_01-01-2019_A_31-12-2019.CSV
